name,url,chemistry,chemistry html,IMA Symbol,Strunz class,crystal system,crystal class,color,cleavage,mohs,streak,gravity,luster,habit,varieties
Cummingtonite,https://en.wikipedia.org/wiki/Cummingtonite,"(Mg,Fe2+)2(Mg,Fe2+)5Si8O22(OH)2","(Mg,Fe<span>2</sub></span>",Cum,9.DE.05,Monoclinic,Prismatic,"Dark green, brown, gray, beige; colorless to pale green in thin section",Good on {110} intersecting at 54 and 126°,5–6,,3.1–3.6,Vitreous to silky,Rarely as distinct crystals. Columnar to fibrous and granular,
Cupalite,https://en.wikipedia.org/wiki/Cupalite,"(Cu,Zn,Fe)Al","(Cu,Zn,Fe)Al",Cup,1.AA.20,Orthorhombic,Unknown space group,Steel-gray yellow,,4-4.5,,5.12 g/cm3,Metallic,,
Cuprite,https://en.wikipedia.org/wiki/Cuprite,Cu2O,Cu<sub>2</sub>O,Cpr,4.AA.10,Cubic,Hexoctahedral,"Dark red to conchineal red, sometimes almost black",Fair in four directions forming octahedrons,3.5 to 4,Shining metallic brownish-red,6.14,"Adamantine, sub-metallic, earthy","Cubic, octahedral, and dodecahedral crystals; as hairlike capillary forms, earthy, compact granular and massive",
Cuprosklodowskite,https://en.wikipedia.org/wiki/Cuprosklodowskite,Cu(UO2)2(HSiO4)2·6(H2O),Cu(UO<sub>2</sub>)<sub>2</sub>(HSiO<sub>4</sub>)<sub>2</sub>·6(H<sub>2</sub>O),Cskl,9.AK.10,Triclinic,Pinacoidal,Yellowish to grass-green,On {100},4,Greenish yellow,3.85,Dull to silky in aggregates,In radiating groups of acicular flattened or bladed needles or fibrous crusts,
Cuprospinel,https://en.wikipedia.org/wiki/Cuprospinel,"CuFe2O4 or (Cu,Mg)Fe2O4","CuFe<sub>2</sub>O<sub>4</sub>or(Cu,Mg)Fe<sub>2</sub>O<sub>4</sub>",,4.BB.05,Isometric,Hexoctahedral,"Black, gray in reflected light",,6.5,Black,5 - 5.2,Metallic,"Irregular grains, laminae intergrown with hematite",
Curite,https://en.wikipedia.org/wiki/Curite,Pb3(UO2)8O8(OH)6·3(H2O),Pb<sub>3</sub>(UO<sub>2</sub>)<sub>8</sub>O<sub>8</sub>(OH)<sub>6</sub>·3(H<sub>2</sub>O),Cui,4.GB.55,Orthorhombic,Dipyramidal,"Yellow, reddish orange, brownish yellow.","{100}, imperfect",4-5,Orange,6.98 - 7.4,Adamantine,"Massive, acicular, compact earthy.",
Cuspidine,https://en.wikipedia.org/wiki/Cuspidine,"Ca4(Si2O7)(F,OH)2","Ca<sub>4</sub>(Si<sub>2</sub>O<sub>7</sub>)(F,OH)<sub>2</sub>",Csp,9.BE.17,Monoclinic,Prismatic,"Colorless, tan, light brown, pale red",Good on {001} imperfect on {110},5-6,,2.85-2.96,Vitreous,"Minute spearhead-shaped crystals, acicular, granular",
Cyanotrichite,https://en.wikipedia.org/wiki/Cyanotrichite,Cu4Al2[(OH)12|SO4]·2H2O,Cu<sub>4</sub>Al<sub>2</sub>[(OH)<sub>12</sub>|SO<sub>4</sub>]·2H<sub>2</sub>O,Cya,7.DE.10,Monoclinic,Prismatic,"Sky-blue, azure-blue",,1-3,Light blue,2.76,Silky,Acicular crystals and fibrous aggregates; incrustations,Polianite (None)
Cylindrite,https://en.wikipedia.org/wiki/Cylindrite,Pb3Sn4FeSb2S14,Pb<sub>3</sub>Sn<sub>4</sub>FeSb<sub>2</sub>S<sub>14</sub>,Cy,2.HF.25a,Triclinic,,,Perfect on {100},2.5,Black,5.4 - 5.42,,Cylindrical,
Cymrite,https://en.wikipedia.org/wiki/Cymrite,"BaAl2Si2(O,OH)8·(H2O)","BaAl<sub>2</sub>Si<sub>2</sub>(O,OH)<sub>8</sub>·(H<sub>2</sub>O)",Cym,,Monoclinic,Domatic,"Brown, greenish, colorless","Perfect on {001}, good on {110}",2-3,White,3.49,"Silky, Vitreous","Micacious, sheet-like, pseudohexagonal, also fibrous",
Cyrilovite,https://en.wikipedia.org/wiki/Cyrilovite,NaFe3+3(PO4)2(OH)4·2(H2O),NaFe<sup>3+</sup><sub>3</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>4</sub>·2(H<sub>2</sub>O),Cyr,8.DL.10,Tetragonal,Trapezohedral,"Bright yellow, honey-yellow, orange to brownish yellow, brown",None,4,Yellow,3.081–3.096,Vitreous,"Massive, granular, pseudo cubic, radiating to botryoidal aggregates and crusts",
Danalite,https://en.wikipedia.org/wiki/Danalite,Fe2+4Be3(SiO4)3S,Fe<sup>2+</sup><sub>4</sub>Be<sub>3</sub>(SiO<sub>4</sub>)<sub>3</sub>S,Dan,9.FB.10,Isometric,Hextetrahedral,"Yellow, pink, reddish brown, red: colorless to pink in thin section",{111} and {111},5.5 to 6,Grey white,3.28 - 3.46,Vitreous or greasy,"Octahedral and dodecahedral crystals, typically massive or as segregations",
Danburite,https://en.wikipedia.org/wiki/Danburite,CaB2(SiO4)2,CaB<sub>2</sub>(SiO<sub>4</sub>)<sub>2</sub>,Dbu,9.FA.65,Orthorhombic,Dipyramidal,,{001} Poor,7 – 7.5,White,2.93 - 3.02,,Euhedral prismatic crystals; disseminated masses,
Datolite,https://en.wikipedia.org/wiki/Datolite,CaBSiO4(OH),CaBSiO<sub>4</sub>(OH),Dat,9.AJ.20,Monoclinic,Prismatic,"Colorless or white; may be grayish, yellow, green, pale green, red, pink, etc.",None,5 to 5.5,,2.96 – 3.00,"Vitreous, rarely subresinous on fracture surface","Crystal prismatic, short to tabular; Botryoidal or globular with columnar structure; granular to compact; cryptocrystalline",
Daubréeite,https://en.wikipedia.org/wiki/Daubr%C3%A9eite,"BiO(OH,Cl)","BiO(OH,Cl)",Dau,3.DC.25,Tetragonal,Ditetragonal dipyramidal,"Creamy-white, grayish, yellowish-brown","[{001}, perfect",2-2.5,,6-6.5,"Greasy, silky","Compact massive, columnar",
Daubréelite,https://en.wikipedia.org/wiki/Daubr%C3%A9elite,Fe2+Cr3+2S4,Fe<sup>2+</sup>Cr<sup>3+</sup><sub>2</sub>S<sub>4</sub>,Dbr,2.DA.05,Cubic,Hexoctahedral,Black,Distinct,4.5-5,Brown or black,,Metallic,"Massive, platy aggregates, exsolution lamellae in troilite",
Davemaoite,https://en.wikipedia.org/wiki/Davemaoite,CaSiO3,CaSiO<sub>3</sub>,Dvm,9.H0,Isometric,Cubic,,,,,,,,
Davidite,https://en.wikipedia.org/wiki/Davidite,"(La,Ce,Ca)(Y,U)(Ti,Fe3+)20O38","(La,Ce,Ca)(Y,U)(Ti,Fe<span>38</sub></span>",Dvd-La,4.CC.40,Trigonal,Rhombohedral,Black,,6,,4.33 to 4.48,Vitreous,,
Dawsonite,https://en.wikipedia.org/wiki/Dawsonite,NaAlCO3(OH)2,NaAlCO<sub>3</sub>(OH)<sub>2</sub>,Dws,5.BB.10,Orthorhombic,Dipyramidal,white,perfect on {110},3,white,2436,vitreous,encrustations or radial,
Delafossite,https://en.wikipedia.org/wiki/Delafossite,CuFeO2,CuFeO<sub>2</sub>,Del,4.AB.15,Trigonal,Hexagonal scalenohedral,Black,Imperfect on {1011},5.5,Black,5.41,Metallic,"Tabular to equant crystals; botryoidal crusts, spherulitic, powdery, massive",
Delvauxite,https://en.wikipedia.org/wiki/Delvauxite,"CaFe4(PO4,SO4)2(OH)8•(4-6)H2O",CaFe<span>2</sub></span>O,Dvx,,,,Yellow to brown to dark brown,,,,,,,
Demesmaekerite,https://en.wikipedia.org/wiki/Demesmaekerite,Pb2Cu5(UO2)2(SeO3)6(OH)6·2H2O,Pb<sub>2</sub>Cu<sub>5</sub>(UO<sub>2</sub>)<sub>2</sub>(SeO<sub>3</sub>)<sub>6</sub>(OH)<sub>6</sub>·2H<sub>2</sub>O,Dmm,4.JJ.20,Triclinic,Pinacoidal,Green to olive green - turns brownish on dehydration,None,3-4,,5.28,,"Elongated, striated, typically in radial aggregates",
Derriksite,https://en.wikipedia.org/wiki/Derriksite,Cu4(UO2)(SeO3)2(OH)6•H2O,Cu<sub>4</sub>(UO<sub>2</sub>)(SeO<sub>3</sub>)<sub>2</sub>(OH)<sub>6</sub>•H<sub>2</sub>O,Drk,4.JG.30,Orthorhombic,Pyramidal,,"{???} perfect, {010} good",,,4.72,,,
Descloizite,https://en.wikipedia.org/wiki/Descloizite,"(Pb,Zn)2VO4OH","(Pb,Zn)<sub>2</sub>VO<sub>4</sub>OH",Dcz,8.BH.40,Orthorhombic,Dipyramidal,"Brownish red, red-orange, reddish to blackish brown, nearly black",None,3 - 3.5,Orange to brownish red,6.1 - 6.2,Greasy,"Zoned tabular crystals common, encrustations and plumose aggregates",
Devilline,https://en.wikipedia.org/wiki/Devilline,CaCu4(SO4)2(OH)6·3(H2O),CaCu<sub>4</sub>(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>·3(H<sub>2</sub>O),Dev,7.DD.30,Monoclinic,Prismatic,"green, blueish green; green in transmitted light",perfect (001) distinct (110) and (101),2.5,light green,,"vitreous, pearly","prismatic, lamellar, platy pseudohexagonal crystals",
Diaboleite,https://en.wikipedia.org/wiki/Diaboleite,Pb2CuCl2(OH)4,Pb<sub>2</sub>CuCl<sub>2</sub>(OH)<sub>4</sub>,Dbol,3.DB.05,Tetragonal,Ditetragonal pyramidal,Blue,Perfect on {001},2.5,Pale blue,,"Adamantine, pearly on cleavages","As square tabular crystals, thin plates, massive",
Diadochite,https://en.wikipedia.org/wiki/Diadochite,Fe2(PO4)(SO4)OH·5H2O,Fe<sub>2</sub>(PO<sub>4</sub>)(SO<sub>4</sub>)OH·5H<sub>2</sub>O,Ddc,8.DB.05,,,,,,,,,,
Diamond,https://en.wikipedia.org/wiki/Diamond,C,C,Dia,1.CB.10a,Cubic,Hexoctahedral,"Typically yellow, brown, or gray to colorless. Less often blue, green, black, translucent white, pink, violet, orange, purple, and red.",111 (perfect in four directions),10,Colorless,3.52±0.01,Adamantine,Octahedral,
Diaspore,https://en.wikipedia.org/wiki/Diaspore,α-AlO(OH),α-AlO(OH),Dsp,4.FD.10,Orthorhombic,Dipyramidal,"White, pale gray, colorless, greenish gray, brown, pale yellow, pink, purple; may exhibit color change","{010} perfect, {110} distinct, {100} in traces",6.5 - 7,,3.1 - 3.4,"Adamantine, vitreous, pearly on cleavage faces","Platey, elongated to acicular crystals; also stalactitic, foliated, scaly, disseminated and massive",
Dickite,https://en.wikipedia.org/wiki/Dickite,Al2Si2O5(OH)4,Al<sub>4</sub>,Dck,9.ED.05,Monoclinic,Domatic,"White, with coloration from impurities",Perfect on {001},1.5 - 2,White,2.6,Satiny to pearly,"Pseudohexagonal crystals, aggregates of platelets and compact massive",
Digenite,https://en.wikipedia.org/wiki/Digenite,Cu9S5,Cu<sub>9</sub>S<sub>5</sub>,Dg,2.BA.05e,Trigonal,Hexagonal scalenohedral,Blue to black,{111} (observed in synthetic material),2.5 to 3,Black,"5.5 to 5.7 observed, 5.628 calculated",Submetallic to metallic,"Pseudocubic crystals are rare, usually as intergrowths with other copper sulfides",
Dimorphite,https://en.wikipedia.org/wiki/Dimorphite,As4S3,As<sub>4</sub>S<sub>3</sub>,Dim,2.FA.10,Orthorhombic,Dipyramidal,orange-yellow,none,1.5,yellow,3.59,adamantine,Groups of pyramidal crystals,
Diopside,https://en.wikipedia.org/wiki/Diopside,MgCaSi2O6,MgCaSi<sub>2</sub>O<sub>6</sub>,Di,9.DA.15,Monoclinic,Prismatic,"Commonly light to dark green; may be blue, brown, colorless, white to snow white, grey, pale violet",Distinct/good on {110},5.5 - 6.5,white,3278,Vitreous to dull,"Short prismatic crystals common, may be granular, columnar, massive",
Dioptase,https://en.wikipedia.org/wiki/Dioptase,Cu6Si6O18·6H2O,Cu<sub>6</sub>Si<sub>6</sub>O<sub>18</sub>·6H<sub>2</sub>O,Dpt,9.CJ.30,Trigonal,Rhombohedral,"Dark teal, emerald green",Perfect in three directions,5,Green,3.28–3.35,Vitreous,Six sided prisms terminated by rhombohedrons to massive,
Djerfisherite,https://en.wikipedia.org/wiki/Djerfisherite,See text,Seetext,Djr,2.FC.05,Cubic,Hexoctahedral,"Greenish yellow, khaki to olive drab",,3.5,,,Submetallic,Rounded grains,
Djurleite,https://en.wikipedia.org/wiki/Djurleite,Cu31S16,Cu<sub>31</sub>S<sub>16</sub>,Dju,2.BA.05b,Monoclinic,Prismatic,"Grey, blue-black or black",None,2.5to 3,Black,5.63,Submetallic to metallic,"Crystals are short prismatic and thick tabular, also massive and compact",
Dmitryivanovite,https://en.wikipedia.org/wiki/Dmitryivanovite,CaAl2O4,CaAl<sub>2</sub>O<sub>4</sub>,Div,4.BC.10,Monoclinic,Prismatic,Colorless,,,,,,Phase in CAI of 470 (NWA470) CH3 chondrite as subhedral grains,
Dollaseite-(Ce),https://en.wikipedia.org/wiki/Dollaseite-(Ce),CaCeMg2AlSi3O11F(OH),CaCeMg<sub>2</sub>AlSi<sub>3</sub>O<sub>11</sub>F(OH),Dls-Ce,,Monoclinic,Prismatic,Brown,"Indistinct, epidote has one good cleavage on one side",6.5–7,light brown,3.9,Vitreous,"Massive, somewhat prismatic, equant when subhedral",
Dolomite (mineral),https://en.wikipedia.org/wiki/Dolomite_(mineral),CaMg(CO3)2,CaMg(CO<sub>3</sub>)<sub>2</sub>,Dol,5.AB.10,Trigonal,Rhombohedral,"White, grey to pink, reddish-white, brownish-white; colourless in transmitted light",3 directions of cleavage not at right angles,3.5-4,White,2.84–2.86,Vitreous to pearly,"Tabular crystals, often with curved faces, also columnar, stalactitic, granular, massive.",
Domeykite,https://en.wikipedia.org/wiki/Domeykite,Cu3As,Cu<sub>3</sub>As,Do,2.AA.10b,Isometric,Hextetrahedral,Tin-white to steel-gray,None,3-3.5,Black gray,"7.2 - 8.1, average = 7.65",Metallic,"Reniform, botryoidal; massive",
Donnayite-(Y),https://en.wikipedia.org/wiki/Donnayite-(Y),NaCaSr3Y(CO3)6∙3H2O,NaCaSr<sub>3</sub>Y(CO<sub>3</sub>)<sub>6</sub>∙3H<sub>2</sub>O,Dna-Y,5.CC.05,Triclinic,Pedial,,,3,,,,,
Doyleite,https://en.wikipedia.org/wiki/Doyleite,Al(OH)3,Al(OH)<sub>3</sub>,Doy,4.FE.10,Triclinic,,"White, creamy-white, bluish-white",Perfect on {010} Distinct on {100},2.5 - 3,White,,Vitreous,,
Dresserite,https://en.wikipedia.org/wiki/Dresserite,BaAl2(CO3)2(OH)4 · H2O,BaAl<sub>2</sub>(CO<sub>3</sub>)<sub>2</sub>(OH)<sub>4</sub>·H<sub>2</sub>O,Dsr,5.DB.10,Orthorhombic,Dipyramidal,White,,2.5 - 3,White,2.96,"Vitreous, silky",,
Drysdallite,https://en.wikipedia.org/wiki/Drysdallite,MoSe1.5S0.5,MoSe1.5S0.5,Dry,2.D.25-30,Hexagonal,Dihexagonal dipyramidal,,Perfect,2,Brown-black,6.248 (Calculated),Metallic,,
Duftite,https://en.wikipedia.org/wiki/Duftite,PbCuAsO4(OH),PbCuAsO<sub>4</sub>(OH),Dft,8.BH.35,Orthorhombic,Disphenoidal,"Green, olive green or grey green. Generally zoned due to compositional variations.",Indistinct,4.5,Pale green or white,"6.4 (measured), 6.60 (calculated)",Vitreous on fracture surfaces and dull on crystal faces,"Tiny crystals elongated along [001] with curved and rough faces, aggregated into crusts. Crystals may be pseudo-octahedral.",
Dumortierite,https://en.wikipedia.org/wiki/Dumortierite,"Al7BO3(SiO4)3O3 or Al6.5-7BO3(SiO4)3(O,OH)3","Al<sub>7</sub>BO<sub>3</sub>(SiO<sub>4</sub>)<sub>3</sub>O<sub>3</sub>orAl<sub>6.5-7</sub>BO<sub>3</sub>(SiO<sub>4</sub>)<sub>3</sub>(O,OH)<sub>3</sub>",Dum,9.AJ.10,Orthorhombic,Dipyramidal,"Blue, greenish-blue, violet-blue, pale blue, red","Distinct on {100}, poor on {110}; parting on {001}",7 - 8.5,White,3.3 - 3.4,Vitreous to dull,As fibrous or columnar crystals; coarsely crystalline to intimate parallel aggregates of needles; massive,
Dundasite,https://en.wikipedia.org/wiki/Dundasite,PbAl2[(OH)2|CO3]2 • H2O,PbAl<sub>2</sub>[(OH)<sub>2</sub>|CO<sub>3</sub>]<sub>2</sub> • H<sub>2</sub>O,Dun,5.DB.10,Orthorhombic,Dipyramidal,White to very pale blue; colorless in transmitted light,Perfect On {010},2,White,3.10 – 3.55,Vitreous to silky,Acicular crystals typically in spherical aggregates and matted crusts,
Dypingite,https://en.wikipedia.org/wiki/Dypingite,Mg5(CO3)4(OH)2·5H2O,Mg<sub>5</sub>(CO<sub>3</sub>)<sub>4</sub>(OH)<sub>2</sub>·5H<sub>2</sub>O,,5.DA.05,Monoclinic,Unknown space group,White,,,White to gray,2.15,Pearly,Globular - spherical to rounded forms (e.g. wavellite),
Dyscrasite,https://en.wikipedia.org/wiki/Dyscrasite,Ag3+xSb1−x (x ≈ 0.2),Ag<sub>3+x</sub>Sb<sub>1−x</sub>(x≈0.2),Dys,2.AA.35,Orthorhombic,Pyramidal,"Silver-white (tarnishes to lead-gray, yellowish, or black)","Distinct on {001} {001}, imperfect on {110}",3.52 - 4,Silver-white,9.4 - 10,Metallic,"Pyramidal crystals also cylindrical, prismatic to platy, striated; granular, foliated or massive",
Dzhalindite,https://en.wikipedia.org/wiki/Dzhalindite,In(OH)3,In(OH)<sub>3</sub>,Dz,4.FC.05,Cubic,Diploidal,Yellow-brown; light yellow in transmitted light; dark gray in reflected light,,4 - 4.5,,4.38,,Massive,
Edenite,https://en.wikipedia.org/wiki/Edenite,NaCa2Mg5(Si7Al)O22(OH)2,NaCa<sub>2</sub>Mg<sub>5</sub>(Si<sub>7</sub>Al)O<sub>22</sub>(OH)<sub>2</sub>,Ed,9.DE.15,Monoclinic,Prismatic,"White to gray, pale to dark green, also brown and pale pinkish-brown",Good on (110),5–6,White,3.05 - 3.37,Vitreous,"Prismatic crystals, fibrous, as reaction rims on pyroxenes",
Edingtonite,https://en.wikipedia.org/wiki/Edingtonite,BaAl2Si3O10·4H2O,BaAl<sub>2</sub>Si<sub>3</sub>O<sub>10</sub>·4H<sub>2</sub>O,Edi,9.GA.15,Orthorhombic,,"White, gray, pink",Perfect on [110],4 - 4.5,,2.73 - 2.78,,Prismatic pseudotetragonal crystals; massive.,
Edscottite,https://en.wikipedia.org/wiki/Edscottite,,,,,,,,,,,,,,
Efremovite,https://en.wikipedia.org/wiki/Efremovite,(NH4)2Mg2(SO4)3,(NH<sub>4</sub>)<sub>2</sub>Mg<sub>2</sub>(SO<sub>4</sub>)<sub>3</sub>,Efr,7.AC.10,Cubic,Tetartoidal,White to gray,None,2,,2.52 (calculated),Vitreous,Equant grains and crusts,
Ekanite,https://en.wikipedia.org/wiki/Ekanite,"Ca2ThSi8O20 or (Ca,Fe,Pb)2(Th,U)Si8O20",Ca<span>20</sub></span>,Ek,9.EA.10,Tetragonal,Trapezohedral,"Green, yellow, dark red",Distinct on {101},4.5,White,2.95 - 3.28,Vitreous,"Pyramidal crystals, granular to massive",
Elaliite,https://en.wikipedia.org/wiki/Elaliite,Fe9PO12,Fe<sub>12</sub>,,,Orthorhombic,,,,,,,,,
Elbaite,https://en.wikipedia.org/wiki/Elbaite,Na(Li1.5Al1.5)Al6Si6O18(BO3)3(OH)4,Na(Li<sub>1.5</sub>Al<sub>1.5</sub>)Al<sub>6</sub>Si<sub>6</sub>O<sub>18</sub>(BO<sub>3</sub>)<sub>3</sub>(OH)<sub>4</sub>,Elb,9.CK.05,Trigonal,Ditrigonal pyramidal,"Green, red to pink, blue, orange, yellow, colorless, multicolored",Poor/indistinct on {1120} and {1011},7.5,White,,Vitreous,Prismatic; striated,"Achroite (colorless), Indicolite (blue), Rubellite (red to pink), Verdelite (green)"
Elkinstantonite,https://en.wikipedia.org/wiki/Elkinstantonite,Fe4(PO4)2O,Fe<sub>2</sub>O,,,Monoclinic,,,,,,,,,
Emmonsite,https://en.wikipedia.org/wiki/Emmonsite,Fe2(TeO3)3·2(H2O),Fe<sub>2</sub>(TeO<sub>3</sub>)<sub>3</sub>·2(H<sub>2</sub>O),Ems,4.JM.10,Triclinic,Pinacoidal,Yellowish green,Perfect on {010}; good on {100} and {001},5,,4.52–4.55,Vitreous,"Thin to hairlike crystals, occurring in rosettes and sprays; also fibrous globular aggregates and crusts",
Empressite,https://en.wikipedia.org/wiki/Empressite,AgTe,AgTe,Eps,2.CB.80,Orthorhombic,Dipyramidal,Pale bronze,None,3.5,Gray-black to black,7.6,Metallic,Granular masses,
Enargite,https://en.wikipedia.org/wiki/Enargite,Cu3AsS4,Cu<sub>3</sub>AsS<sub>4</sub>,Eng,2.KA.05,Orthorhombic,Pyramidal,"Grayish black to iron black; gray to pale pink-brown, deep red internal reflections in polished section","Perfect on {110}, distinct {100} and {010}",3,Black,4.4 to 4.5,Metallic to dull,"Tabular to prismatic crystals, striated parallel to {001}; massive",
Enstatite,https://en.wikipedia.org/wiki/Enstatite,MgSiO3,MgSiO<sub>3</sub>,En,9.DA.05,Orthorhombic,Dipyramidal,"White, grey, green, yellow or brown - colorless in thin section.",Good/distinct on [210],5 to 6,Gray,3.2–3.3,"Vitreous, pearly on cleavage","Prismatic crystals, commonly lamellar, fibrous, or massive",
Eosphorite,https://en.wikipedia.org/wiki/Eosphorite,MnAl(PO4)(OH)2·H2O,MnAl(PO<sub>4</sub>)(OH)<sub>2</sub>·H<sub>2</sub>O,Eos,8.DD.20,Orthorhombic,Dipyramidal,"usually pale brown, golden brown, also medium brown to dark brown; occasionally pink, rose red",Poor on {100},5,White,3.06 – 3.08,"Vitreous, resinous","Prismatic in radiating sprays or spheres, massive; twinned pseudo-orthorhombic",
Ephesite,https://en.wikipedia.org/wiki/Ephesite,NaLiAl2(Al2Si2)O10(OH)2,NaLiAl<sub>2</sub>(Al<sub>2</sub>Si<sub>2</sub>)O<sub>10</sub>(OH)<sub>2</sub>,Eph,9.EC.20,Monoclinic,Prismatic,"Brownish pink, pearl gray, pale green",Perfect on {001},3.5–4,,2984,"Vitreous, pearly on cleavage",Flakes,
Epidote,https://en.wikipedia.org/wiki/Epidote,{Ca2}{Al2Fe3+}(SiO4)(Si2O7)O(OH),{Ca<sub>2</sub>}{Al<sub>2</sub>Fe<sup>3+</sup>}(SiO<sub>4</sub>)(Si<sub>2</sub>O<sub>7</sub>)O(OH),Ep,,Monoclinic,Prismatic,"Pistachio-green, yellow-green, greenish black, brownish-green, green, black",{001} perfect and {100} imperfect,6–7,Greyish white,3.38-3.49,Vitreous to resinous,"Prismatic with striations, fibrous, massive",
Epsomite,https://en.wikipedia.org/wiki/Epsomite,MgSO4·7H2O,MgSO<sub>4</sub>·7H<sub>2</sub>O,Esm,7.CB.40,Orthorhombic,Disphenoidal,"White, grey, colorless, or pink, greenish",{010} perfect {101} distinct,2,,1.67 - 1.68,"Vitreous, silky when fibrous",Acicular to fibrous encrustations,
Ericssonite,https://en.wikipedia.org/wiki/Ericssonite,BaMn2FeO[Si2O7](OH),BaMn<sub>2</sub>FeO[Si<sub>2</sub>O<sub>7</sub>](OH),Ers,,Monoclinic,Prismatic,deep reddish black,"perfect, perfect on (100) fair on (011)",4.5,brown,,sub metallic,Massive - uniformly indistinguishable crystals forming large masses,
Erionite,https://en.wikipedia.org/wiki/Erionite,"(Na2,K2,Ca)2Al4Si14O36•15H2O",(Na<span>2</sub></span>O,Eri,,Hexagonal,Dihexagonal dipyramidal,"White, Green, Gray, Orange",[010] Distinct,3.5-4,white,2.09 - 2.13 avg = 2.11,Vitreous - silky,Acicular - Occurs as needle-like crystals.,
Erythrite,https://en.wikipedia.org/wiki/Erythrite,Co3(AsO4)2·8H2O,Co<sub>3</sub>(AsO<sub>4</sub>)<sub>2</sub>·8H<sub>2</sub>O,Ery,8.CE.40,Monoclinic,Prismatic,"Crimson to peach-red, pale rose, or pink, may be zoned",Perfect on {010}; poor on {100} and {102}.,1.5 - 2.5,Pale red to pink,3.06,"Subadamantine, pearly on cleavages","Radial or stellate aggregates, fibrous, drusy; usually powdery and massive - rarely as striated prismatic crystals",
Eskolaite,https://en.wikipedia.org/wiki/Eskolaite,Cr2O3,Cr<sub>2</sub>O<sub>3</sub>,Esk,4.CB.05,Trigonal,Hexagonal scalenohedral,Black to dark green,None,8 - 8.5,Pale green,5.18,Vitreous or metallic,Hexagonal prisms and plates,
Esperite,https://en.wikipedia.org/wiki/Esperite,PbCa3Zn4(SiO4)4,PbCa<sub>3</sub>Zn<sub>4</sub>(SiO<sub>4</sub>)<sub>4</sub>,Epr,9.AB.15,Monoclinic,Prismatic,White,Distinct on [010] and [100] - poor on [101],5 - 5.5,White,4.28 - 4.42,Vitreous,Typically massive,
Ettringite,https://en.wikipedia.org/wiki/Ettringite,Ca6Al2(SO4)3(OH)12·26H2O,Ca<sub>12</sub>·26H<sub>2</sub>O,Ett,7.DG.15,Trigonal,Ditrigonal pyramidal,"Colorless, pale yellow, milky white",Perfect on {1010},2-2.5,White,1.77,Vitreous,"Acicular growth, striated prismatic crystals; fibrous to cottonlike",
Euchlorine,https://en.wikipedia.org/wiki/Euchlorine,KNaCu3(SO4)3O,KNaCu<sub>3</sub>(SO<sub>4</sub>)<sub>3</sub>O,Ecr,7.BC.30,Monoclinic,,"Emerald-green, dark green",,,Pistachio green,,,"Single crystals, tabular, incrustation",
Euchroite,https://en.wikipedia.org/wiki/Euchroite,Cu2AsO4OH·3H2O,Cu<sub>2</sub>AsO<sub>4</sub>OH·3H<sub>2</sub>O,Euc,8.DC.07,Orthorhombic,Disphenoidal,,,,,,,,
Euclase,https://en.wikipedia.org/wiki/Euclase,BeAlSiO4(OH),BeAlSiO<sub>4</sub>(OH),Ecs,9.AE.10,Monoclinic,Prismatic,"Colorless, white, pale green to deep yellowish green, greenish blue, pale blue to deep blue","Perfect, perfect on {010}, imperfect on {110} {001}",7.5,White,2.99 - 3.1,Vitreous,Prismatic crystals,
Eucryptite,https://en.wikipedia.org/wiki/Eucryptite,LiAlSiO4,LiAlSiO<sub>4</sub>,Ecp,,Trigonal,Rhombohedral,"Brown, colorless, white",Indistinct on {1010} and {0001},6.5,White,,Vitreous,"Rare as euhedral crystals, coarse crystalline aggregates and massive",
Eudialyte,https://en.wikipedia.org/wiki/Eudialyte,"Na15Ca6(Fe,Mn)3Zr3SiO(O,OH,H2O)3(Si3O9)2(Si9O27)2(OH,Cl)2","Na<sub>15</sub>Ca<sub>6</sub>(Fe,Mn)<sub>3</sub>Zr<sub>3</sub>SiO(O,OH,H<sub>2</sub>O)<sub>3</sub><br/>(Si<sub>3</sub>O<sub>9</sub>)<sub>2</sub>(Si<sub>9</sub>O<sub>27</sub>)<sub>2</sub>(OH,Cl)<sub>2</sub>",Eud,9.CO.10,Trigonal,Hexagonal scalenohedral,"Red, magenta, brown; also blue and yellow",Distinct on {0001} imperfect on {1120},5 - 6,White,2.74–3.10,Vitreous,"Crystals short rhombohedral to long prismatic, granular, irregular masses",
Eudialyte group,https://en.wikipedia.org/wiki/Eudialyte_group,,,,,,,,,,,,,,
Euxenite,https://en.wikipedia.org/wiki/Euxenite-(Y),"(Y,Ca,Ce,U,Th)(Nb,Ta,Ti)2O6","(Y,Ca,Ce,U,Th)(Nb,Ta,Ti)<span>6</sub></span>",Eux,4.DG.05,Orthorhombic,,"Black, brownish black,greenish black",None,5.5 to 6.5,"Yellowish, grayish, or reddish brown",4.7 to 5,"Brilliant submetallic, waxy to resinous on fractures","Massive, anhedral crystals in matrix",
Eveite,https://en.wikipedia.org/wiki/Eveite,Mn22+AsO4OH,Mn<sub>2</sub><sup>2+</sup>AsO<sub>4</sub>OH,Ev,8.BB.30,Orthorhombic,Dipyramidal,"Apple green, pale yellow",Fair on {101},3.5 - 4,White,3.76,Vitreous,Tabular or sheaf-like,
